City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
45,bhag,29.0415,67.8239,291.79,30,0,1.25,PK,1706672990
46,ushuaia,-54.8,-68.3,281.96,71,20,11.83,AR,1706672990
47,drama,41.1544,24.1394,277.41,56,0,2.25,GR,1706672990
48,broome,42.2506,-75.833,273.09,89,100,3.6,US,1706672745
49,ilulissat,69.2167,-51.1,250.16,45,18,2.06,GL,1706672990
50,west island,-12.1568,96.8225,303.14,66,40,2.57,CC,1706672991
51,mapimi,25.8167,-103.85,288.78,35,29,2.84,MX,1706672991
52,stanley,54.868,-1.6985,277.75,79,0,6.17,GB,1706672991
53,tura,25.5198,90.2201,295.69,33,0,0.81,IN,1706672992
54,sao paulo de olivenca,-3.3783,-68.8725,297.21,97,100,0.92,BR,1706672992
55,mount isa,-20.7333,139.5,300.02,83,100,7.72,AU,1706672992
56,bredasdorp,-34.5322,20.0403,291.4,96,76,1.21,ZA,1706672992
57,ambon,-3.6954,128.1814,306.23,62,40,2.57,ID,1706672993
58,dadiya,9.6167,11.4333,292.98,30,19,1.74,NG,1706672993
59,afaahiti,-17.75,-149.2833,302.07,79,85,3.57,PF,1706672993
60,lihue,21.9789,-159.3672,296.92,76,75,2.06,US,1706672769
61,margaret river,-33.95,115.0667,300.97,53,0,5.57,AU,1706672994
62,dalandzadgad,43.5708,104.425,258.04,76,62,1.12,MN,1706672994
63,conceicao da barra,-18.5933,-39.7322,296.82,97,100,1.38,BR,1706672994
64,ahraura,25.0167,83.0167,292.23,44,54,1.76,IN,1706672994
65,thunder bay,48.4001,-89.3168,274.14,86,75,3.09,CA,1706672935
66,margate,51.3813,1.3862,280.2,91,66,0.89,GB,1706672995
67,jolo,6.05,121.0167,301.85,75,88,2.72,PH,1706672995
68,dungarvan,52.0881,-7.6253,281.24,83,100,8.01,IE,1706672995
69,lompoc,34.6391,-120.4579,287.0,86,0,0.0,US,1706672996
70,tobelo,1.7284,128.0095,301.73,77,99,2.55,ID,1706672996
71,thompson,55.7435,-97.8558,274.24,93,100,1.03,CA,1706672996
72,nantucket,41.2835,-70.0995,271.18,59,100,2.8,US,1706672996
73,mongagua,-24.0931,-46.6208,297.4,82,90,0.39,BR,1706672997
74,saint-philippe,-21.3585,55.7679,298.92,84,58,4.54,RE,1706672997
75,altay,47.8667,88.1167,262.31,75,98,0.86,CN,1706672997
